method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
ASC,2,0.8868421052631579,0.11315789473684212,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.587,0.16412430238091963,1.461,0.04678319856174509,1000,0,0.7736842105263158
PPR-1v1,2,0.8868421052631579,0.11315789473684212,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.885,0.16491870131081493,1.711,0.06730534160829295,1000,0,0.7736842105263158
ASC,2,0.9078947368421053,0.09210526315789475,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.398,0.1240057634046346,1.368,0.041039740012093893,1000,0,0.8157894736842106
PPR-1v1,2,0.9078947368421053,0.09210526315789475,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.34,0.12435671473021824,1.398,0.04337600116974221,1000,0,0.8157894736842106
ASC,2,0.9289473684210526,0.07105263157894737,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.344,0.08904355722594832,1.246,0.03271932998327678,1000,0,0.8578947368421053
PPR-1v1,2,0.9289473684210526,0.07105263157894737,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.064,0.08915685013369058,1.287,0.03789547554876528,1000,0,0.8578947368421053
ASC,2,0.95,0.04999999999999999,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.246,0.05845294701778711,1.136,0.023281882356159397,1000,0,0.8999999999999999
PPR-1v1,2,0.95,0.04999999999999999,0.0,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.753,0.05847952645137214,1.197,0.027874145152236834,1000,0,0.8999999999999999
ASC,3,0.4,0.3,0.3,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,17.626,6.386377493730197,39.053,3.7782042054417886,1000,0,0.1428571428571429
PPR-1v1,3,0.4,0.3,0.3,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,87.145,7.492446699004979,22.569,3.078733154535618,1000,0,0.1428571428571429
ASC,3,0.4280701754385965,0.28596491228070176,0.28596491228070176,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,13.764,4.213369834055888,19.634,1.704970665134438,1000,0,0.199017199017199
PPR-1v1,3,0.4280701754385965,0.28596491228070176,0.28596491228070176,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,58.537,4.698720788160541,15.046,1.5429603399344425,1000,0,0.199017199017199
